area_type,availability,location,bhk,size_comp,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,HSR Layout,3,BHK,1400,3,2,56
Super built-up  Area,Ready To Move,Nagasandra,2,BHK,980,2,1,48
Super built-up  Area,Ready To Move,EPIP Zone,2,BHK,1285,2,2,82
Super built-up  Area,Ready To Move,Langford Town,3,BHK,912,2,1,70
Built-up  Area,Ready To Move,Whitefield,2,BHK,1225,2,2,47.6
Super built-up  Area,Ready To Move,Whitefield,2,BHK,1075,2,1,53
Built-up  Area,Ready To Move,Kadugodi,3,BHK,1260,2,2,54
Super built-up  Area,Ready To Move,Yelahanka,3,BHK,1282,2,2,48.7
Super built-up  Area,Ready To Move,Kogilu,3,BHK,1909,3,2,88
Super built-up  Area,Ready To Move,Panathur,2,BHK,1359,2,1,87
Built-up  Area,Ready To Move,Nagondanahalli,2,BHK,1207,2,2,43.5
Plot  Area,Ready To Move,Padmanabhanagar,4,Bedroom,1736,6,0,190
Super built-up  Area,Date Set,1st Block Jayanagar,4,BHK,2850,4,1,428
Super built-up  Area,Ready To Move,Kammasandra,3,BHK,1595,3,2,65
Built-up  Area,Date Set,"Off Sarjapur Road, ",3,BHK,1798,3,2,89
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,BHK,1475,3,2,78.29
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3,BHK,1580,3,3,100
Super built-up  Area,Ready To Move,Dasarahalli,2,BHK,1295,2,1,65
Built-up  Area,Ready To Move,Magadi Road,6,Bedroom,3600,6,0,141
Super built-up  Area,Ready To Move,Electronic City,1,BHK,589,1,1,27
Super built-up  Area,Ready To Move,Ngef Layout,3,BHK,1415,3,3,78
Super built-up  Area,Date Set,Sarjapur  Road,3,BHK,1787,3,2,98.29
Super built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,1787,3,2,125
Super built-up  Area,Ready To Move,Koramangala,3,BHK,1475,2,3,90
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4,BHK,2000,4,1,75.5
Super built-up  Area,Date Set,Sarjapur  Road,2,BHK,984,2,1,44.28
Super built-up  Area,Date Set,Devanahalli,3,BHK,1630,2,2,74.82
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3,BHK,2405,4,2,260
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,BHK,1080,2,2,72
Plot  Area,Ready To Move,Shantiniketan Layout,2,Bedroom,1500,2,1,115
Super built-up  Area,Ready To Move,Hebbal,3,BHK,1900,3,2,119
Super built-up  Area,Date Set,Dommasandra,2,BHK,805,2,1,22.14
Super built-up  Area,Ready To Move,Budigere,2,BHK,1153,2,2,56.4
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2,BHK,1148,2,2,60
Super built-up  Area,Ready To Move,Mylasandra,2,BHK,1110,2,2,55
Built-up  Area,Ready To Move,Electronic City,2,BHK,1100,2,2,42
Super built-up  Area,Ready To Move,Kalyan nagar,2,BHK,1290,2,2,110
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3,BHK,1500,2,1,65
Super built-up  Area,Date Set,Bank Of Baroda Colony,2,BHK,1080,2,2,39
Super built-up  Area,Date Set,Vijayanagar,3,BHK,1933,3,1,129
Built-up  Area,Ready To Move,Ramamurthy Nagar,5,Bedroom,3500,5,2,150
Built-up  Area,Ready To Move,Kullappa Colony,2,BHK,1060,2,2,60
Super built-up  Area,Date Set,Chandapura,1,BHK,645,1,1,16.45
Plot  Area,Ready To Move,Mukkutam Nagar,8,Bedroom,2600,8,2,180
Super built-up  Area,Date Set,Chandapura,1,BHK,645,1,1,16.45
Super built-up  Area,Ready To Move,Ashwath Nagar,3,BHK,1644,3,3,84
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2,BHK,1285,2,3,72.5
Plot  Area,Ready To Move,Electronic City,3,Bedroom,1200,3,1,90
Super built-up  Area,Ready To Move,Electronic City,2,BHK,910,2,1,40
Super built-up  Area,Ready To Move,Kothanur,3,BHK,1577,3,1,70
Plot  Area,Date Set,Meenakunte,3,Bedroom,4050,3,2,280
Super built-up  Area,Ready To Move,OMBR Layout,3,BHK,2420,3,2,185
Super built-up  Area,Ready To Move,Chandapura,2,BHK,800,1,1,20
Built-up  Area,Ready To Move,Anand Nagar,2,BHK,1060,2,2,55
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,BHK,1270,2,2,93
Super built-up  Area,Date Set,Shree Ananth Nagar Layout,2,BHK,900,2,2,22.5
Built-up  Area,Ready To Move,Kundalahalli Colony,2,Bedroom,1280,2,1,69
Plot  Area,Ready To Move,Horamavu Agara,4,Bedroom,1200,2,0,95
Built-up  Area,Ready To Move,Sarjapur  Road,2,BHK,1025,2,2,36
Super built-up  Area,Date Set,Electronic City,2,BHK,1108,2,1,63
Plot  Area,Ready To Move,MCECHS  layout,5,Bedroom,1200,5,2,170
Super built-up  Area,Ready To Move,Coffee Board Layout,3,BHK,3045,3,2,170
Plot  Area,Ready To Move,Ambedkar Nagar,4,Bedroom,2900,3,2,300
Super built-up  Area,Ready To Move,Vijayanagar,3,BHK,1500,3,2,75.5
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,BHK,1295,2,2,43.9
Super built-up  Area,Ready To Move,Budigere,2,BHK,1162,2,1,59.9
Super built-up  Area,Ready To Move,Sarjapur  Road,2,BHK,1035,2,2,49.2
Built-up  Area,Ready To Move,Attibele,4,Bedroom,1600,4,0,52.8
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3,BHK,1464,3,2,46
Super built-up  Area,Date Set,Hennur Road,3,BHK,1866,2,2,61.58
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2,BHK,700,1,1,26
Super built-up  Area,Ready To Move,Kalena Agrahara,3,BHK,1804,3,2,120
Super built-up  Area,Ready To Move,Sarjapur,2,BHK,913,2,1,32
Super built-up  Area,Date Set,Talaghattapura,3,BHK,1868,3,2,131
Built-up  Area,Ready To Move,Kengeri Satellite Town,2,BHK,883,2,1,45
Plot  Area,Ready To Move,Sundara Nagar,2,Bedroom,900,2,1,110
Super built-up  Area,Ready To Move,Kogilu,3,BHK,1664,2,3,73.95
Super built-up  Area,Ready To Move,Hegde Nagar,3,BHK,2026,3,2,132
Super built-up  Area,Ready To Move,Balagere,2,BHK,1210,2,1,80.9
Plot  Area,Ready To Move,Meenakunte,4,Bedroom,4111,4,2,250
Super built-up  Area,Ready To Move,Kadugodi,3,BHK,1762,3,3,91.45
Super built-up  Area,Ready To Move,Jigani,3,BHK,1252,3,3,55
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2,BHK,861,2,1,34.5
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,BHK,1420,2,1,100
Plot  Area,Ready To Move,Srirampura,6,Bedroom,1450,6,0,250
Built-up  Area,Ready To Move,Electronics City Phase 1,3,BHK,1490,3,1,78.8
Super built-up  Area,Ready To Move,Bisuvanahalli,3,BHK,1075,2,1,46
Super built-up  Area,Date Set,Old Madras Road,3,BHK,1425,2,2,94
Built-up  Area,Ready To Move,Kalena Agrahara,2,BHK,1200,2,1,40
Super built-up  Area,Ready To Move,Kaggadasapura,3,BHK,1280,2,2,56
Super built-up  Area,Ready To Move,Silver Springs Layout,2,BHK,1084,2,2,50
Super built-up  Area,Date Set,Chandapura,2,BHK,1015,2,2,25.88
Super built-up  Area,Date Set,Kanakpura Road,2,BHK,1017,2,1,51.25
Super built-up  Area,Ready To Move,Haralur Road,2,BHK,1027,2,2,44
Super built-up  Area,Ready To Move,Electronic City Phase II,2,BHK,1069,2,2,45
Super built-up  Area,Ready To Move,Hebbal,2,BHK,1349,2,1,98.2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2,BHK,1005,2,1,50
Super built-up  Area,Ready To Move,Jakkur,2,BHK,1417,2,3,75
Plot  Area,Date Set,TC Palaya,3,Bedroom,1475,3,1,98
Carpet  Area,Ready To Move,Maruthi Sevanagar,2,BHK,950,2,2,47
Super built-up  Area,Ready To Move,RMV 2nd Stage,4,BHK,2000,4,0,120
Plot  Area,Ready To Move,Giri Nagar,3,Bedroom,880,3,1,140
Super built-up  Area,Ready To Move,Sarjapur  Road,4,BHK,1863,3,2,104
Super built-up  Area,Ready To Move,Singasandra,2,BHK,1010,2,1,29.5
Super built-up  Area,Ready To Move,Kalena Agrahara,3,BHK,1425,2,1,70
Super built-up  Area,Ready To Move,Vijayanagar,3,BHK,1450,3,0,100
Super built-up  Area,Ready To Move,Kothanur,3,BHK,1847,3,2,105
Super built-up  Area,Ready To Move,AECS Layout,2,BHK,1100,2,3,45
Super built-up  Area,Date Set,Kanakpura Road,1,BHK,525,1,1,26
Super built-up  Area,Ready To Move,Mallasandra,3,BHK,1665,3,2,95
Super built-up  Area,Ready To Move,Begur,4,BHK,1664,4,3,65
Super built-up  Area,Ready To Move,JP Nagar,3,BHK,1850,3,3,150
Super built-up  Area,Ready To Move,Panathur,2,BHK,1438,2,3,100
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3,BHK,1560,3,3,115
Super built-up  Area,Date Set,Yelahanka,2,BHK,1350,2,1,55.55
Super built-up  Area,Ready To Move,Kanakpura Road,3,BHK,1550,3,3,67
Super built-up  Area,Date Set,Malleshpalya,2,BHK,1140,2,2,46.5
Plot  Area,Ready To Move,Srirampura,5,Bedroom,1200,5,2,180
Super built-up  Area,Date Set,Kodathi,2,BHK,850,2,2,27
Super built-up  Area,Ready To Move,Whitefield,2,BHK,1280,2,2,75
Built-up  Area,Ready To Move,Munnekollal,2,BHK,1170,2,2,52
Super built-up  Area,Ready To Move,Motappa Layout,2,BHK,1113,2,1,51
Super built-up  Area,Ready To Move,Hennur Road,2,BHK,1385,2,1,83.09
Super built-up  Area,Date Set,Electronic City,2,BHK,1128,2,1,65
Plot  Area,Ready To Move,Marathahalli,2,Bedroom,1200,2,2,128
Plot  Area,Ready To Move,Akshaya Vana,4,Bedroom,1200,4,3,165
Super built-up  Area,Ready To Move,Rajaji Nagar,3,BHK,2390,3,2,415
Plot  Area,Ready To Move,Giri Nagar,4,Bedroom,2400,4,1,400
Super built-up  Area,Ready To Move,Haralur Road,3,BHK,1464,3,2,56
Super built-up  Area,Ready To Move,Manayata Tech Park,2,BHK,1200,2,2,55
Super built-up  Area,Ready To Move,Kaval Byrasandra,2,BHK,1200,2,2,52
Super built-up  Area,Ready To Move,Kaggalipura,3,BHK,1150,2,1,55
Built-up  Area,Ready To Move,Basavanna Nagar,3,BHK,1645,3,2,95
Super built-up  Area,Date Set,Sarjapur  Road,2,BHK,1000,2,1,67
Plot  Area,Ready To Move,Haralur Road,4,Bedroom,2650,4,2,198
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,BHK,1192,2,2,74
Super built-up  Area,Ready To Move,Ulsoor,3,BHK,2135,3,2,215
Super built-up  Area,Date Set,Whitefield,2,BHK,1173,2,1,58
Built-up  Area,Ready To Move,Uttarahalli,2,BHK,1020,2,2,45
Super built-up  Area,Ready To Move,Thigalarapalya,4,BHK,3122,6,2,230
Super built-up  Area,Ready To Move,Somasundara Palya,3,BHK,1600,3,3,64
Plot  Area,Date Set,T.C PALYA,2,Bedroom,1200,2,0,79
Carpet  Area,Ready To Move,Muneshwara Nagar,2,BHK,1230,2,3,48
Super built-up  Area,Ready To Move, Devarachikkanahalli,2,BHK,1250,2,2,40
Super built-up  Area,Ready To Move,Kalena Agrahara,2,BHK,1325,2,2,76
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,BHK,1850,3,1,150
Super built-up  Area,Date Set,Kanakpura Road,1,BHK,525,2,2,21.53
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2,BHK,1200,2,2,65
Plot  Area,Ready To Move,Bull Temple Road,3,Bedroom,1350,2,0,140
Super built-up  Area,Date Set,Bommasandra,3,BHK,1260,3,1,49.36
Super built-up  Area,Ready To Move,Prashanth Nagar,3,BHK,1800,3,0,150
Plot  Area,Date Set,Suragajakkanahalli,3,Bedroom,11,3,2,74
Built-up  Area,Ready To Move,Ardendale,2,BHK,1100,2,1,43.25
Super built-up  Area,Ready To Move,Harlur,2,BHK,1508,2,1,77
Carpet  Area,Ready To Move,Sampigehalli,3,BHK,1592,3,2,75
Super built-up  Area,Ready To Move,Akshaya Nagar,2,BHK,1388,2,3,57
