,location,bhk,total_sqft,bath,balcony,price,Actual Price
128,7th Phase JP Nagar,2,1175.0,2,2,82.5,825000.0
131,7th Phase JP Nagar,2,1215.0,2,2,90.0,900000.0
132,7th Phase JP Nagar,2,1050.0,2,1,75.0,750000.0
133,7th Phase JP Nagar,3,1300.0,3,2,89.13,891300.0
134,7th Phase JP Nagar,2,1130.0,2,2,73.0,730000.0
135,7th Phase JP Nagar,3,1450.0,3,2,100.0,1000000.0
137,7th Phase JP Nagar,2,1050.0,2,1,50.0,500000.0
138,7th Phase JP Nagar,2,1275.0,2,1,87.0,870000.0
140,7th Phase JP Nagar,3,1650.0,3,2,110.0,1100000.0
141,7th Phase JP Nagar,2,850.0,2,2,42.0,420000.0
142,7th Phase JP Nagar,3,1680.0,3,2,117.0,1170000.0
143,7th Phase JP Nagar,3,1850.0,3,1,150.0,1500000.0
144,7th Phase JP Nagar,2,1236.0,2,2,61.33,613300.0
145,7th Phase JP Nagar,2,1000.0,2,2,53.0,530000.0
146,7th Phase JP Nagar,3,1680.0,3,2,125.0,1250000.0
147,7th Phase JP Nagar,3,1675.0,2,2,135.0,1350000.0
148,7th Phase JP Nagar,2,1187.0,2,1,59.0,590000.0
149,7th Phase JP Nagar,3,1850.0,3,2,155.0,1550000.0
150,7th Phase JP Nagar,2,1000.0,2,1,61.0,610000.0
151,7th Phase JP Nagar,3,1460.0,2,2,100.0,1000000.0
152,7th Phase JP Nagar,3,1650.0,3,3,110.0,1100000.0
153,7th Phase JP Nagar,2,1200.0,2,2,62.5,625000.0
154,7th Phase JP Nagar,2,1000.0,2,1,70.65,706500.0
155,7th Phase JP Nagar,2,1080.0,2,2,75.0,750000.0
157,7th Phase JP Nagar,3,1680.0,3,3,125.0,1250000.0
158,7th Phase JP Nagar,3,1460.0,2,1,97.0,970000.0
159,7th Phase JP Nagar,2,1120.0,2,2,65.0,650000.0
160,7th Phase JP Nagar,2,1100.0,3,1,60.0,600000.0
161,7th Phase JP Nagar,3,1790.0,3,3,120.0,1200000.0
162,7th Phase JP Nagar,3,1680.0,3,2,117.0,1170000.0
163,7th Phase JP Nagar,2,1050.0,2,1,77.0,770000.0
164,7th Phase JP Nagar,2,1050.0,2,1,75.0,750000.0
165,7th Phase JP Nagar,2,1040.0,2,1,75.0,750000.0
166,7th Phase JP Nagar,3,1400.0,2,1,95.0,950000.0
167,7th Phase JP Nagar,3,1800.0,3,2,130.0,1300000.0
168,7th Phase JP Nagar,2,1050.0,2,0,68.0,680000.0
169,7th Phase JP Nagar,2,1000.0,2,2,60.0,600000.0
170,7th Phase JP Nagar,3,1680.0,3,2,125.0,1250000.0
171,7th Phase JP Nagar,2,1050.0,2,1,77.47,774700.0
172,7th Phase JP Nagar,2,1270.0,2,1,80.0,800000.0
174,7th Phase JP Nagar,3,1680.0,3,2,122.0,1220000.0
175,7th Phase JP Nagar,2,1130.0,2,2,85.0,850000.0
176,7th Phase JP Nagar,3,1680.0,3,3,130.0,1300000.0
177,7th Phase JP Nagar,2,980.0,2,1,77.44,774400.0
178,7th Phase JP Nagar,3,1680.0,3,2,112.0,1120000.0
180,7th Phase JP Nagar,3,2095.0,3,2,150.0,1500000.0
181,7th Phase JP Nagar,3,1976.0,3,1,145.0,1450000.0
182,7th Phase JP Nagar,3,1600.0,2,2,110.0,1100000.0
183,7th Phase JP Nagar,3,1765.0,3,2,118.0,1180000.0
184,7th Phase JP Nagar,3,1275.0,2,2,88.0,880000.0
185,7th Phase JP Nagar,3,1450.0,2,1,102.0,1020000.0
186,7th Phase JP Nagar,3,1575.0,2,2,110.0,1100000.0
188,7th Phase JP Nagar,1,750.0,1,2,47.0,470000.0
189,7th Phase JP Nagar,2,990.0,2,2,50.0,500000.0
190,7th Phase JP Nagar,1,1000.0,1,1,60.0,600000.0
191,7th Phase JP Nagar,2,1080.0,2,1,51.0,510000.0
193,7th Phase JP Nagar,3,1430.0,2,1,102.0,1020000.0
194,7th Phase JP Nagar,2,1128.0,2,1,60.0,600000.0
195,7th Phase JP Nagar,2,1140.0,2,1,57.0,570000.0
196,7th Phase JP Nagar,3,1420.0,3,2,90.0,900000.0
197,7th Phase JP Nagar,2,1530.0,2,1,108.0,1080000.0
198,8th Phase JP Nagar,2,1073.5,2,0,54.01,540100.0
199,8th Phase JP Nagar,1,451.0,1,0,29.9,299000.0
201,8th Phase JP Nagar,2,1062.0,2,1,42.47,424700.0
203,8th Phase JP Nagar,3,1455.0,3,2,73.31,733100.0
204,8th Phase JP Nagar,2,871.0,2,2,55.0,550000.0
205,8th Phase JP Nagar,2,1098.0,2,1,43.91,439099.99999999994
206,8th Phase JP Nagar,3,1800.0,3,1,80.0,800000.0
207,8th Phase JP Nagar,4,2700.0,4,2,130.0,1300000.0
208,8th Phase JP Nagar,2,1080.0,2,2,38.0,380000.0
209,8th Phase JP Nagar,2,1059.0,2,2,34.5,345000.0
210,8th Phase JP Nagar,2,1080.0,2,2,35.0,350000.0
212,8th Phase JP Nagar,2,1062.0,2,1,42.47,424700.0
213,8th Phase JP Nagar,1,500.0,1,1,31.0,310000.0
214,8th Phase JP Nagar,2,1100.0,2,2,35.0,350000.0
215,8th Phase JP Nagar,4,2100.0,4,3,92.0,920000.0
216,8th Phase JP Nagar,2,1035.0,2,1,39.33,393300.0
217,8th Phase JP Nagar,2,909.0,2,1,40.9,409000.0
218,8th Phase JP Nagar,3,1431.5,3,0,72.02,720200.0
219,8th Phase JP Nagar,3,1900.0,4,1,90.0,900000.0
220,8th Phase JP Nagar,1,500.0,1,1,30.0,300000.0
221,8th Phase JP Nagar,2,1125.0,2,2,36.94,369400.0
222,8th Phase JP Nagar,2,1100.0,2,3,35.0,350000.0
223,8th Phase JP Nagar,2,1089.0,2,1,43.55,435500.0
225,8th Phase JP Nagar,3,1504.0,2,2,83.0,830000.0
226,8th Phase JP Nagar,4,2600.0,4,2,115.0,1150000.0
228,8th Phase JP Nagar,2,1089.0,2,1,43.55,435500.0
230,8th Phase JP Nagar,2,1513.0,2,3,62.0,620000.0
231,8th Phase JP Nagar,2,1298.0,2,1,59.0,590000.0
232,8th Phase JP Nagar,2,1006.0,2,0,44.0,440000.0
233,8th Phase JP Nagar,1,500.0,1,1,33.0,330000.0
234,8th Phase JP Nagar,2,1160.0,2,1,95.0,950000.0
235,8th Phase JP Nagar,2,1245.0,2,1,59.0,590000.0
236,8th Phase JP Nagar,2,1510.0,2,3,80.0,800000.0
237,8th Phase JP Nagar,3,3300.0,3,2,165.0,1650000.0
238,8th Phase JP Nagar,5,1730.0,5,2,75.0,750000.0
241,8th Phase JP Nagar,2,1046.0,2,1,48.0,480000.0
243,8th Phase JP Nagar,3,1408.0,3,2,80.0,800000.0
245,9th Phase JP Nagar,2,1005.0,2,1,50.0,500000.0
247,9th Phase JP Nagar,2,1100.0,2,1,65.0,650000.0
248,9th Phase JP Nagar,2,1080.0,2,2,37.0,370000.0
249,9th Phase JP Nagar,2,1035.0,2,1,45.0,450000.0
250,9th Phase JP Nagar,4,5000.0,4,3,290.0,2900000.0
251,9th Phase JP Nagar,2,1164.0,2,1,56.0,560000.0
252,9th Phase JP Nagar,2,1005.0,2,1,42.0,420000.0
253,9th Phase JP Nagar,2,1127.0,2,1,50.0,500000.0
254,9th Phase JP Nagar,2,1005.0,2,1,43.0,430000.0
255,9th Phase JP Nagar,2,835.0,2,0,37.0,370000.0
256,9th Phase JP Nagar,2,1050.0,2,2,39.0,390000.0
257,9th Phase JP Nagar,2,660.0,2,0,27.0,270000.0
258,9th Phase JP Nagar,1,600.0,1,0,20.0,200000.0
259,9th Phase JP Nagar,2,1466.0,2,2,71.0,710000.0
260,9th Phase JP Nagar,3,1890.0,2,2,93.0,930000.0
261,9th Phase JP Nagar,2,1079.0,2,1,60.0,600000.0
262,9th Phase JP Nagar,2,1480.0,2,1,80.0,800000.0
263,9th Phase JP Nagar,2,1200.0,2,0,80.0,800000.0
264,9th Phase JP Nagar,2,905.0,2,1,32.0,320000.0
265,9th Phase JP Nagar,2,1073.0,2,1,52.36,523600.0
266,9th Phase JP Nagar,3,1719.3,2,2,88.0,880000.0
267,9th Phase JP Nagar,3,1780.0,3,2,88.0,880000.0
269,9th Phase JP Nagar,3,1522.0,3,2,90.0,900000.0
272,9th Phase JP Nagar,2,890.0,2,2,45.0,450000.0
274,9th Phase JP Nagar,4,5000.0,4,2,300.0,3000000.0
276,9th Phase JP Nagar,2,1050.0,2,2,35.0,350000.0
277,9th Phase JP Nagar,2,1331.95,2,2,69.0,690000.0
278,AECS Layout,2,1100.0,2,3,45.0,450000.0
279,AECS Layout,2,1028.0,2,1,42.0,420000.0
280,AECS Layout,2,1199.0,2,2,65.0,650000.0
281,AECS Layout,2,1080.0,2,2,55.0,550000.0
282,AECS Layout,2,1123.0,2,2,64.0,640000.0
283,AECS Layout,2,1308.0,2,1,60.0,600000.0
284,AECS Layout,2,1005.0,2,1,55.0,550000.0
286,Abbigere,2,985.0,2,1,40.39,403900.0
287,Abbigere,6,2200.0,6,2,68.0,680000.0
288,Abbigere,1,765.0,2,2,30.0,300000.0
289,Abbigere,2,880.0,2,1,35.0,350000.0
290,Abbigere,2,795.0,2,1,32.54,325400.0
291,Abbigere,2,1005.0,2,1,39.59,395900.00000000006
292,Abbigere,1,734.0,1,0,19.82,198200.0
294,Abbigere,2,1020.0,2,1,41.82,418200.0
295,Abbigere,2,985.0,2,1,40.39,403900.0
296,Abbigere,6,2500.0,6,0,81.0,810000.0
297,Abbigere,2,795.0,2,1,32.54,325400.0
298,Abbigere,2,1130.0,2,1,46.33,463300.0
299,Abbigere,2,795.0,1,1,32.6,326000.0
300,Abbigere,8,3000.0,8,0,150.0,1500000.0
301,Abbigere,2,985.0,2,1,38.92,389200.0
302,Abbigere,2,1000.0,2,1,41.0,410000.0
303,Abbigere,2,995.0,2,1,40.8,408000.0
304,Abbigere,2,1020.0,2,1,40.8,408000.0
305,Akshaya Nagar,2,1388.0,2,3,57.0,570000.0
306,Akshaya Nagar,2,1070.0,2,1,54.0,540000.0
307,Akshaya Nagar,2,1280.0,2,2,58.0,580000.0
308,Akshaya Nagar,3,1662.0,3,3,85.1,851000.0
309,Akshaya Nagar,3,1897.0,3,2,120.0,1200000.0
310,Akshaya Nagar,3,1410.0,2,2,75.0,750000.0
311,Akshaya Nagar,3,1360.0,2,2,85.0,850000.0
313,Akshaya Nagar,3,1410.0,2,2,80.0,800000.0
314,Akshaya Nagar,3,1662.0,3,2,85.0,850000.0
315,Akshaya Nagar,3,1662.0,3,2,85.5,855000.0
316,Akshaya Nagar,2,1280.0,2,1,60.0,600000.0
317,Akshaya Nagar,3,1666.0,3,2,95.0,950000.0
318,Akshaya Nagar,3,1575.0,3,2,90.0,900000.0
319,Akshaya Nagar,3,1430.0,2,2,75.0,750000.0
320,Akshaya Nagar,3,1419.0,2,3,73.0,730000.0
321,Akshaya Nagar,2,1280.0,2,1,60.0,600000.0
322,Akshaya Nagar,2,1200.0,2,1,50.0,500000.0
323,Akshaya Nagar,2,1092.0,2,1,60.0,600000.0
324,Akshaya Nagar,3,1690.0,3,2,85.0,850000.0
326,Akshaya Nagar,3,1897.0,4,2,93.0,930000.0
327,Akshaya Nagar,3,1884.0,3,3,98.0,980000.0
328,Akshaya Nagar,2,1314.0,2,2,68.8,688000.0
329,Akshaya Nagar,3,1690.0,3,2,85.0,850000.0
330,Akshaya Nagar,2,1265.0,2,3,67.0,670000.0
331,Akshaya Nagar,2,1126.0,2,1,55.0,550000.0
333,Akshaya Nagar,3,1662.0,3,2,90.0,900000.0
334,Akshaya Nagar,3,1420.0,2,2,75.0,750000.0
335,Akshaya Nagar,3,1412.0,2,3,88.0,880000.0
336,Akshaya Nagar,3,1434.0,3,3,84.0,840000.0
337,Akshaya Nagar,3,1890.0,4,2,100.0,1000000.0
339,Akshaya Nagar,3,1419.0,2,3,87.0,870000.0
340,Akshaya Nagar,2,1300.0,2,1,54.0,540000.0
341,Akshaya Nagar,3,1690.0,3,2,85.0,850000.0
342,Akshaya Nagar,2,1113.0,2,1,52.0,520000.0
343,Akshaya Nagar,3,1820.0,4,2,95.0,950000.0
344,Akshaya Nagar,2,1100.0,2,2,48.0,480000.0
345,Akshaya Nagar,3,1896.0,3,2,102.0,1020000.0
346,Akshaya Nagar,2,1300.0,2,2,66.0,660000.0
347,Akshaya Nagar,2,1225.0,2,0,68.0,680000.0
348,Akshaya Nagar,2,1179.0,2,1,51.0,510000.0
349,Akshaya Nagar,3,1421.0,2,2,73.0,730000.0
350,Akshaya Nagar,3,1893.0,4,2,95.0,950000.0
351,Akshaya Nagar,2,900.0,2,1,45.0,450000.0
352,Ambalipura,2,1105.0,2,1,75.0,750000.0
353,Ambalipura,3,1800.0,3,3,110.0,1100000.0
354,Ambalipura,2,1150.0,2,2,80.0,800000.0
355,Ambalipura,2,1250.0,2,2,66.25,662500.0
356,Ambalipura,2,1332.0,2,1,79.0,790000.0
357,Ambalipura,3,1730.0,3,1,120.0,1200000.0
359,Ambalipura,2,1230.0,2,2,66.25,662500.0
360,Ambalipura,2,1351.0,2,1,77.0,770000.0
364,Ambalipura,2,1303.0,2,2,80.0,800000.0
365,Ambalipura,3,1607.0,2,2,112.0,1120000.0
366,Ambalipura,1,770.0,1,2,43.82,438200.0
367,Ambalipura,2,1700.0,2,2,76.0,760000.0
368,Ambalipura,2,1060.0,2,1,58.5,585000.0
369,Ambalipura,3,1650.0,3,3,100.0,1000000.0
370,Ambalipura,3,1607.0,2,2,112.0,1120000.0
371,Ambalipura,2,1198.0,2,2,80.0,800000.0
372,Ambedkar Nagar,3,1935.0,4,2,130.0,1300000.0
373,Ambedkar Nagar,2,1424.0,2,2,90.0,900000.0
374,Ambedkar Nagar,3,2225.0,4,2,169.0,1690000.0
375,Ambedkar Nagar,3,1862.0,3,2,120.0,1200000.0
376,Ambedkar Nagar,3,1850.0,4,3,139.0,1390000.0
377,Ambedkar Nagar,3,1936.0,4,2,126.0,1260000.0
378,Ambedkar Nagar,3,1862.0,3,2,119.0,1190000.0
379,Ambedkar Nagar,2,1424.0,2,2,90.0,900000.0
380,Ambedkar Nagar,3,2150.0,4,2,125.0,1250000.0
381,Ambedkar Nagar,4,3530.0,4,2,290.0,2900000.0
382,Ambedkar Nagar,3,1856.0,3,1,120.0,1200000.0
383,Ambedkar Nagar,3,1852.0,3,2,130.0,1300000.0
384,Ambedkar Nagar,3,1850.0,4,2,120.0,1200000.0
385,Ambedkar Nagar,2,1367.0,2,2,86.0,860000.0
386,Ambedkar Nagar,4,3565.0,4,3,255.0,2550000.0
387,Ambedkar Nagar,2,1409.0,2,2,95.0,950000.0
388,Ambedkar Nagar,3,1950.0,4,2,120.0,1200000.0
389,Ambedkar Nagar,3,1921.0,4,3,129.0,1290000.0
390,Ambedkar Nagar,3,1920.0,4,2,121.0,1210000.0
391,Ambedkar Nagar,3,1935.0,4,2,125.0,1250000.0
392,Ambedkar Nagar,3,1852.0,4,2,122.0,1220000.0
393,Ambedkar Nagar,3,1950.0,4,2,120.0,1200000.0
394,Ambedkar Nagar,3,1852.0,3,2,125.0,1250000.0
395,Ambedkar Nagar,3,1850.0,4,2,121.0,1210000.0
396,Ambedkar Nagar,2,1425.0,2,1,94.0,940000.0
397,Ambedkar Nagar,3,2395.0,4,2,150.0,1500000.0
398,Amruthahalli,2,900.0,2,1,40.0,400000.0
399,Amruthahalli,2,1200.0,2,2,55.0,550000.0
400,Amruthahalli,3,1900.0,3,1,135.0,1350000.0
401,Amruthahalli,2,924.0,2,1,45.0,450000.0
402,Amruthahalli,2,900.0,2,1,60.0,600000.0
403,Amruthahalli,2,1100.0,2,1,45.0,450000.0
404,Amruthahalli,2,1200.0,2,1,55.0,550000.0
408,Amruthahalli,3,1450.0,2,1,85.0,850000.0
409,Amruthahalli,2,1200.0,2,2,55.0,550000.0
410,Amruthahalli,2,1250.0,2,2,79.0,790000.0
411,Amruthahalli,2,1190.0,2,2,50.0,500000.0
412,Amruthahalli,2,1202.0,2,1,65.0,650000.0
413,Amruthahalli,2,1340.0,2,1,75.0,750000.0
414,Amruthahalli,3,2650.0,4,0,175.0,1750000.0
415,Amruthahalli,3,1450.0,2,1,90.0,900000.0
416,Amruthahalli,2,1025.0,2,1,42.0,420000.0
417,Amruthahalli,1,485.0,1,1,19.5,195000.0
418,Anandapura,2,1167.0,2,1,43.76,437600.0
419,Anandapura,2,1000.0,2,1,55.0,550000.0
420,Anandapura,2,1141.0,2,1,42.79,427900.0
422,Anandapura,2,1200.0,2,1,67.0,670000.0
423,Anandapura,2,1200.0,2,1,58.0,580000.0
424,Anandapura,2,1151.0,2,1,43.1,431000.0
425,Anandapura,2,1141.0,2,1,42.75,427500.0
426,Anandapura,2,900.0,2,0,48.0,480000.0
427,Anandapura,4,1749.0,4,0,90.0,900000.0
428,Anandapura,2,1151.0,2,1,42.9,429000.0
430,Anandapura,2,1250.0,2,2,45.0,450000.0
431,Anandapura,2,1151.0,2,1,43.16,431599.99999999994
432,Anandapura,2,1200.0,2,0,58.0,580000.0
433,Anandapura,3,1200.0,2,0,66.0,660000.0
434,Anandapura,3,1415.0,2,1,74.0,740000.0
435,Anandapura,2,1200.0,2,1,50.0,500000.0
436,Anandapura,2,1141.0,2,1,50.0,500000.0
438,Ananth Nagar,1,500.0,1,1,14.0,140000.0
439,Ananth Nagar,2,1100.0,2,2,31.5,315000.0
440,Ananth Nagar,2,982.0,2,2,24.55,245500.0
441,Ananth Nagar,1,500.0,2,2,14.0,140000.0
442,Ananth Nagar,2,900.0,2,2,22.5,225000.0
443,Ananth Nagar,2,908.0,2,1,26.0,260000.0
444,Ananth Nagar,2,870.0,2,2,36.0,360000.0
445,Ananth Nagar,2,937.0,2,1,35.0,350000.0
446,Ananth Nagar,2,960.0,2,3,37.0,370000.0
447,Ananth Nagar,1,500.0,1,1,14.0,140000.0
448,Ananth Nagar,2,1000.0,2,1,29.7,297000.0
449,Ananth Nagar,2,850.0,2,1,25.99,259899.99999999997
450,Ananth Nagar,2,902.0,2,1,25.26,252600.00000000003
451,Ananth Nagar,3,1470.0,3,2,54.0,540000.0
452,Ananth Nagar,2,810.0,2,1,25.5,255000.0
453,Ananth Nagar,2,890.0,2,1,27.0,270000.0
454,Ananth Nagar,2,1200.0,2,1,36.0,360000.0
456,Ananth Nagar,3,1319.0,3,1,42.0,420000.0
457,Ananth Nagar,2,1000.0,2,3,25.0,250000.0
458,Ananth Nagar,2,902.0,2,2,25.0,250000.0
459,Ananth Nagar,2,930.0,2,1,25.99,259899.99999999997
460,Ananth Nagar,2,1074.0,2,2,26.85,268500.0
461,Ananth Nagar,1,500.0,1,1,14.0,140000.0
462,Ananth Nagar,2,1010.0,2,2,38.0,380000.0
463,Ananth Nagar,2,992.0,2,2,24.8,248000.0
465,Anekal,2,656.0,2,1,22.0,220000.0
466,Anekal,2,620.0,2,1,22.0,220000.0
467,Anekal,1,600.0,1,1,16.5,165000.0
468,Anekal,2,925.0,2,1,40.0,400000.0
469,Anekal,1,530.0,1,1,18.0,180000.0
470,Anekal,3,1800.0,3,2,68.0,680000.0
472,Anekal,1,351.0,1,1,16.0,160000.0
473,Anekal,2,1035.0,2,2,38.3,383000.0
474,Anekal,2,888.0,2,1,34.0,340000.0
478,Anekal,4,1200.0,2,1,36.0,360000.0
479,Anekal,2,766.0,2,2,28.0,280000.0
480,Anekal,3,967.0,2,1,45.0,450000.0
481,Anekal,2,620.0,1,1,23.5,235000.0
482,Anekal,3,1150.0,3,2,45.0,450000.0
485,Anekal,1,400.0,1,1,11.5,115000.0
486,Anekal,1,456.0,1,1,15.0,150000.0
489,Anekal,3,2400.0,4,0,95.0,950000.0
493,Anekal,1,420.0,1,1,12.5,125000.0
494,Anekal,2,614.0,1,1,28.0,280000.0
495,Anekal,2,1140.0,2,2,52.0,520000.0
496,Anekal,2,625.0,1,1,25.0,250000.0
497,Anjanapura,4,1850.0,4,2,86.0,860000.0
498,Anjanapura,2,1070.0,2,2,39.0,390000.0
499,Anjanapura,3,1500.0,3,1,121.0,1210000.0
500,Anjanapura,2,1070.0,2,2,37.0,370000.0
