,location,bhk,total_sqft,bath,balcony,price
78,5th Phase JP Nagar,2,812.0,2,1,42.0
79,5th Phase JP Nagar,2,1010.0,2,2,57.0
81,5th Phase JP Nagar,2,1075.0,2,2,60.0
82,6th Phase JP Nagar,2,1192.0,2,2,74.0
83,6th Phase JP Nagar,2,1180.0,2,3,80.0
84,6th Phase JP Nagar,4,3245.0,4,2,250.0
85,6th Phase JP Nagar,3,1645.0,3,3,100.0
86,6th Phase JP Nagar,2,1140.0,2,2,65.0
87,6th Phase JP Nagar,3,2040.0,3,2,200.0
88,6th Phase JP Nagar,2,1213.0,2,1,63.0
89,6th Phase JP Nagar,2,1216.0,2,2,60.0
90,6th Phase JP Nagar,2,1460.0,2,2,80.0
91,6th Phase JP Nagar,3,2003.0,3,3,200.0
92,6th Phase JP Nagar,3,1810.0,3,3,131.0
93,6th Phase JP Nagar,3,1515.0,2,2,135.0
94,6th Phase JP Nagar,2,1192.0,2,3,75.0
95,6th Phase JP Nagar,2,1280.0,2,1,88.0
96,7th Phase JP Nagar,2,1080.0,2,2,72.0
97,7th Phase JP Nagar,2,1270.0,2,2,93.0
98,7th Phase JP Nagar,3,1420.0,2,1,100.0
99,7th Phase JP Nagar,3,1850.0,3,1,150.0
100,7th Phase JP Nagar,2,1245.0,2,1,94.0
101,7th Phase JP Nagar,2,1175.0,2,1,82.0
102,7th Phase JP Nagar,3,1400.0,2,1,95.0
103,7th Phase JP Nagar,3,2225.0,3,1,160.0
104,7th Phase JP Nagar,2,1050.0,2,1,71.0
105,7th Phase JP Nagar,2,1100.0,2,0,46.0
106,7th Phase JP Nagar,2,918.0,2,1,50.49
107,7th Phase JP Nagar,3,1450.0,2,1,100.0
108,7th Phase JP Nagar,2,1190.0,2,1,49.98
109,7th Phase JP Nagar,3,1420.0,2,2,96.0
110,7th Phase JP Nagar,3,1680.0,3,2,120.0
111,7th Phase JP Nagar,2,980.0,2,2,69.0
112,7th Phase JP Nagar,2,1180.0,2,2,72.0
116,7th Phase JP Nagar,3,1400.0,3,1,115.0
117,7th Phase JP Nagar,2,1270.0,2,1,83.0
119,7th Phase JP Nagar,4,2503.0,4,0,188.0
120,7th Phase JP Nagar,3,2200.0,3,2,190.0
123,7th Phase JP Nagar,3,1575.0,2,2,110.0
124,7th Phase JP Nagar,3,1850.0,3,2,140.0
125,7th Phase JP Nagar,3,1575.0,2,2,120.0
126,7th Phase JP Nagar,3,1850.0,3,2,150.0
127,7th Phase JP Nagar,3,1680.0,3,2,120.0
128,7th Phase JP Nagar,2,1175.0,2,2,82.5
131,7th Phase JP Nagar,2,1215.0,2,2,90.0
132,7th Phase JP Nagar,2,1050.0,2,1,75.0
133,7th Phase JP Nagar,3,1300.0,3,2,89.13
134,7th Phase JP Nagar,2,1130.0,2,2,73.0
135,7th Phase JP Nagar,3,1450.0,3,2,100.0
137,7th Phase JP Nagar,2,1050.0,2,1,50.0
138,7th Phase JP Nagar,2,1275.0,2,1,87.0
140,7th Phase JP Nagar,3,1650.0,3,2,110.0
141,7th Phase JP Nagar,2,850.0,2,2,42.0
142,7th Phase JP Nagar,3,1680.0,3,2,117.0
143,7th Phase JP Nagar,3,1850.0,3,1,150.0
144,7th Phase JP Nagar,2,1236.0,2,2,61.33
145,7th Phase JP Nagar,2,1000.0,2,2,53.0
146,7th Phase JP Nagar,3,1680.0,3,2,125.0
147,7th Phase JP Nagar,3,1675.0,2,2,135.0
148,7th Phase JP Nagar,2,1187.0,2,1,59.0
149,7th Phase JP Nagar,3,1850.0,3,2,155.0
150,7th Phase JP Nagar,2,1000.0,2,1,61.0
151,7th Phase JP Nagar,3,1460.0,2,2,100.0
152,7th Phase JP Nagar,3,1650.0,3,3,110.0
153,7th Phase JP Nagar,2,1200.0,2,2,62.5
154,7th Phase JP Nagar,2,1000.0,2,1,70.65
155,7th Phase JP Nagar,2,1080.0,2,2,75.0
157,7th Phase JP Nagar,3,1680.0,3,3,125.0
158,7th Phase JP Nagar,3,1460.0,2,1,97.0
159,7th Phase JP Nagar,2,1120.0,2,2,65.0
160,7th Phase JP Nagar,2,1100.0,3,1,60.0
161,7th Phase JP Nagar,3,1790.0,3,3,120.0
162,7th Phase JP Nagar,3,1680.0,3,2,117.0
163,7th Phase JP Nagar,2,1050.0,2,1,77.0
164,7th Phase JP Nagar,2,1050.0,2,1,75.0
165,7th Phase JP Nagar,2,1040.0,2,1,75.0
166,7th Phase JP Nagar,3,1400.0,2,1,95.0
167,7th Phase JP Nagar,3,1800.0,3,2,130.0
168,7th Phase JP Nagar,2,1050.0,2,0,68.0
169,7th Phase JP Nagar,2,1000.0,2,2,60.0
170,7th Phase JP Nagar,3,1680.0,3,2,125.0
171,7th Phase JP Nagar,2,1050.0,2,1,77.47
172,7th Phase JP Nagar,2,1270.0,2,1,80.0
174,7th Phase JP Nagar,3,1680.0,3,2,122.0
175,7th Phase JP Nagar,2,1130.0,2,2,85.0
176,7th Phase JP Nagar,3,1680.0,3,3,130.0
177,7th Phase JP Nagar,2,980.0,2,1,77.44
178,7th Phase JP Nagar,3,1680.0,3,2,112.0
180,7th Phase JP Nagar,3,2095.0,3,2,150.0
181,7th Phase JP Nagar,3,1976.0,3,1,145.0
182,7th Phase JP Nagar,3,1600.0,2,2,110.0
183,7th Phase JP Nagar,3,1765.0,3,2,118.0
184,7th Phase JP Nagar,3,1275.0,2,2,88.0
185,7th Phase JP Nagar,3,1450.0,2,1,102.0
186,7th Phase JP Nagar,3,1575.0,2,2,110.0
188,7th Phase JP Nagar,1,750.0,1,2,47.0
189,7th Phase JP Nagar,2,990.0,2,2,50.0
190,7th Phase JP Nagar,1,1000.0,1,1,60.0
191,7th Phase JP Nagar,2,1080.0,2,1,51.0
193,7th Phase JP Nagar,3,1430.0,2,1,102.0
194,7th Phase JP Nagar,2,1128.0,2,1,60.0
195,7th Phase JP Nagar,2,1140.0,2,1,57.0
196,7th Phase JP Nagar,3,1420.0,3,2,90.0
197,7th Phase JP Nagar,2,1530.0,2,1,108.0
198,8th Phase JP Nagar,2,1073.5,2,0,54.01
199,8th Phase JP Nagar,1,451.0,1,0,29.9
201,8th Phase JP Nagar,2,1062.0,2,1,42.47
203,8th Phase JP Nagar,3,1455.0,3,2,73.31
204,8th Phase JP Nagar,2,871.0,2,2,55.0
205,8th Phase JP Nagar,2,1098.0,2,1,43.91
206,8th Phase JP Nagar,3,1800.0,3,1,80.0
207,8th Phase JP Nagar,4,2700.0,4,2,130.0
208,8th Phase JP Nagar,2,1080.0,2,2,38.0
209,8th Phase JP Nagar,2,1059.0,2,2,34.5
210,8th Phase JP Nagar,2,1080.0,2,2,35.0
212,8th Phase JP Nagar,2,1062.0,2,1,42.47
213,8th Phase JP Nagar,1,500.0,1,1,31.0
214,8th Phase JP Nagar,2,1100.0,2,2,35.0
215,8th Phase JP Nagar,4,2100.0,4,3,92.0
216,8th Phase JP Nagar,2,1035.0,2,1,39.33
217,8th Phase JP Nagar,2,909.0,2,1,40.9
218,8th Phase JP Nagar,3,1431.5,3,0,72.02
219,8th Phase JP Nagar,3,1900.0,4,1,90.0
220,8th Phase JP Nagar,1,500.0,1,1,30.0
221,8th Phase JP Nagar,2,1125.0,2,2,36.94
222,8th Phase JP Nagar,2,1100.0,2,3,35.0
223,8th Phase JP Nagar,2,1089.0,2,1,43.55
225,8th Phase JP Nagar,3,1504.0,2,2,83.0
226,8th Phase JP Nagar,4,2600.0,4,2,115.0
228,8th Phase JP Nagar,2,1089.0,2,1,43.55
230,8th Phase JP Nagar,2,1513.0,2,3,62.0
231,8th Phase JP Nagar,2,1298.0,2,1,59.0
232,8th Phase JP Nagar,2,1006.0,2,0,44.0
233,8th Phase JP Nagar,1,500.0,1,1,33.0
234,8th Phase JP Nagar,2,1160.0,2,1,95.0
235,8th Phase JP Nagar,2,1245.0,2,1,59.0
236,8th Phase JP Nagar,2,1510.0,2,3,80.0
237,8th Phase JP Nagar,3,3300.0,3,2,165.0
238,8th Phase JP Nagar,5,1730.0,5,2,75.0
241,8th Phase JP Nagar,2,1046.0,2,1,48.0
243,8th Phase JP Nagar,3,1408.0,3,2,80.0
245,9th Phase JP Nagar,2,1005.0,2,1,50.0
247,9th Phase JP Nagar,2,1100.0,2,1,65.0
248,9th Phase JP Nagar,2,1080.0,2,2,37.0
249,9th Phase JP Nagar,2,1035.0,2,1,45.0
250,9th Phase JP Nagar,4,5000.0,4,3,290.0
251,9th Phase JP Nagar,2,1164.0,2,1,56.0
252,9th Phase JP Nagar,2,1005.0,2,1,42.0
253,9th Phase JP Nagar,2,1127.0,2,1,50.0
254,9th Phase JP Nagar,2,1005.0,2,1,43.0
255,9th Phase JP Nagar,2,835.0,2,0,37.0
256,9th Phase JP Nagar,2,1050.0,2,2,39.0
257,9th Phase JP Nagar,2,660.0,2,0,27.0
258,9th Phase JP Nagar,1,600.0,1,0,20.0
259,9th Phase JP Nagar,2,1466.0,2,2,71.0
260,9th Phase JP Nagar,3,1890.0,2,2,93.0
261,9th Phase JP Nagar,2,1079.0,2,1,60.0
262,9th Phase JP Nagar,2,1480.0,2,1,80.0
263,9th Phase JP Nagar,2,1200.0,2,0,80.0
264,9th Phase JP Nagar,2,905.0,2,1,32.0
265,9th Phase JP Nagar,2,1073.0,2,1,52.36
266,9th Phase JP Nagar,3,1719.3,2,2,88.0
267,9th Phase JP Nagar,3,1780.0,3,2,88.0
269,9th Phase JP Nagar,3,1522.0,3,2,90.0
272,9th Phase JP Nagar,2,890.0,2,2,45.0
274,9th Phase JP Nagar,4,5000.0,4,2,300.0
276,9th Phase JP Nagar,2,1050.0,2,2,35.0
277,9th Phase JP Nagar,2,1331.95,2,2,69.0
278,AECS Layout,2,1100.0,2,3,45.0
279,AECS Layout,2,1028.0,2,1,42.0
280,AECS Layout,2,1199.0,2,2,65.0
281,AECS Layout,2,1080.0,2,2,55.0
282,AECS Layout,2,1123.0,2,2,64.0
283,AECS Layout,2,1308.0,2,1,60.0
284,AECS Layout,2,1005.0,2,1,55.0
286,Abbigere,2,985.0,2,1,40.39
287,Abbigere,6,2200.0,6,2,68.0
288,Abbigere,1,765.0,2,2,30.0
289,Abbigere,2,880.0,2,1,35.0
290,Abbigere,2,795.0,2,1,32.54
291,Abbigere,2,1005.0,2,1,39.59
292,Abbigere,1,734.0,1,0,19.82
294,Abbigere,2,1020.0,2,1,41.82
295,Abbigere,2,985.0,2,1,40.39
296,Abbigere,6,2500.0,6,0,81.0
297,Abbigere,2,795.0,2,1,32.54
298,Abbigere,2,1130.0,2,1,46.33
299,Abbigere,2,795.0,1,1,32.6
300,Abbigere,8,3000.0,8,0,150.0
301,Abbigere,2,985.0,2,1,38.92
302,Abbigere,2,1000.0,2,1,41.0
303,Abbigere,2,995.0,2,1,40.8
304,Abbigere,2,1020.0,2,1,40.8
305,Akshaya Nagar,2,1388.0,2,3,57.0
306,Akshaya Nagar,2,1070.0,2,1,54.0
307,Akshaya Nagar,2,1280.0,2,2,58.0
308,Akshaya Nagar,3,1662.0,3,3,85.1
309,Akshaya Nagar,3,1897.0,3,2,120.0
310,Akshaya Nagar,3,1410.0,2,2,75.0
311,Akshaya Nagar,3,1360.0,2,2,85.0
313,Akshaya Nagar,3,1410.0,2,2,80.0
314,Akshaya Nagar,3,1662.0,3,2,85.0
315,Akshaya Nagar,3,1662.0,3,2,85.5
316,Akshaya Nagar,2,1280.0,2,1,60.0
317,Akshaya Nagar,3,1666.0,3,2,95.0
318,Akshaya Nagar,3,1575.0,3,2,90.0
319,Akshaya Nagar,3,1430.0,2,2,75.0
320,Akshaya Nagar,3,1419.0,2,3,73.0
321,Akshaya Nagar,2,1280.0,2,1,60.0
322,Akshaya Nagar,2,1200.0,2,1,50.0
323,Akshaya Nagar,2,1092.0,2,1,60.0
324,Akshaya Nagar,3,1690.0,3,2,85.0
326,Akshaya Nagar,3,1897.0,4,2,93.0
327,Akshaya Nagar,3,1884.0,3,3,98.0
328,Akshaya Nagar,2,1314.0,2,2,68.8
329,Akshaya Nagar,3,1690.0,3,2,85.0
330,Akshaya Nagar,2,1265.0,2,3,67.0
331,Akshaya Nagar,2,1126.0,2,1,55.0
333,Akshaya Nagar,3,1662.0,3,2,90.0
334,Akshaya Nagar,3,1420.0,2,2,75.0
335,Akshaya Nagar,3,1412.0,2,3,88.0
336,Akshaya Nagar,3,1434.0,3,3,84.0
337,Akshaya Nagar,3,1890.0,4,2,100.0
339,Akshaya Nagar,3,1419.0,2,3,87.0
340,Akshaya Nagar,2,1300.0,2,1,54.0
341,Akshaya Nagar,3,1690.0,3,2,85.0
342,Akshaya Nagar,2,1113.0,2,1,52.0
343,Akshaya Nagar,3,1820.0,4,2,95.0
344,Akshaya Nagar,2,1100.0,2,2,48.0
345,Akshaya Nagar,3,1896.0,3,2,102.0
346,Akshaya Nagar,2,1300.0,2,2,66.0
347,Akshaya Nagar,2,1225.0,2,0,68.0
348,Akshaya Nagar,2,1179.0,2,1,51.0
349,Akshaya Nagar,3,1421.0,2,2,73.0
350,Akshaya Nagar,3,1893.0,4,2,95.0
351,Akshaya Nagar,2,900.0,2,1,45.0
352,Ambalipura,2,1105.0,2,1,75.0
353,Ambalipura,3,1800.0,3,3,110.0
354,Ambalipura,2,1150.0,2,2,80.0
355,Ambalipura,2,1250.0,2,2,66.25
356,Ambalipura,2,1332.0,2,1,79.0
357,Ambalipura,3,1730.0,3,1,120.0
359,Ambalipura,2,1230.0,2,2,66.25
360,Ambalipura,2,1351.0,2,1,77.0
364,Ambalipura,2,1303.0,2,2,80.0
365,Ambalipura,3,1607.0,2,2,112.0
366,Ambalipura,1,770.0,1,2,43.82
367,Ambalipura,2,1700.0,2,2,76.0
368,Ambalipura,2,1060.0,2,1,58.5
369,Ambalipura,3,1650.0,3,3,100.0
370,Ambalipura,3,1607.0,2,2,112.0
371,Ambalipura,2,1198.0,2,2,80.0
372,Ambedkar Nagar,3,1935.0,4,2,130.0
373,Ambedkar Nagar,2,1424.0,2,2,90.0
374,Ambedkar Nagar,3,2225.0,4,2,169.0
375,Ambedkar Nagar,3,1862.0,3,2,120.0
376,Ambedkar Nagar,3,1850.0,4,3,139.0
377,Ambedkar Nagar,3,1936.0,4,2,126.0
378,Ambedkar Nagar,3,1862.0,3,2,119.0
379,Ambedkar Nagar,2,1424.0,2,2,90.0
380,Ambedkar Nagar,3,2150.0,4,2,125.0
381,Ambedkar Nagar,4,3530.0,4,2,290.0
382,Ambedkar Nagar,3,1856.0,3,1,120.0
383,Ambedkar Nagar,3,1852.0,3,2,130.0
384,Ambedkar Nagar,3,1850.0,4,2,120.0
385,Ambedkar Nagar,2,1367.0,2,2,86.0
386,Ambedkar Nagar,4,3565.0,4,3,255.0
387,Ambedkar Nagar,2,1409.0,2,2,95.0
388,Ambedkar Nagar,3,1950.0,4,2,120.0
389,Ambedkar Nagar,3,1921.0,4,3,129.0
390,Ambedkar Nagar,3,1920.0,4,2,121.0
391,Ambedkar Nagar,3,1935.0,4,2,125.0
392,Ambedkar Nagar,3,1852.0,4,2,122.0
393,Ambedkar Nagar,3,1950.0,4,2,120.0
394,Ambedkar Nagar,3,1852.0,3,2,125.0
395,Ambedkar Nagar,3,1850.0,4,2,121.0
396,Ambedkar Nagar,2,1425.0,2,1,94.0
397,Ambedkar Nagar,3,2395.0,4,2,150.0
398,Amruthahalli,2,900.0,2,1,40.0
399,Amruthahalli,2,1200.0,2,2,55.0
400,Amruthahalli,3,1900.0,3,1,135.0
401,Amruthahalli,2,924.0,2,1,45.0
402,Amruthahalli,2,900.0,2,1,60.0
403,Amruthahalli,2,1100.0,2,1,45.0
404,Amruthahalli,2,1200.0,2,1,55.0
408,Amruthahalli,3,1450.0,2,1,85.0
409,Amruthahalli,2,1200.0,2,2,55.0
410,Amruthahalli,2,1250.0,2,2,79.0
411,Amruthahalli,2,1190.0,2,2,50.0
412,Amruthahalli,2,1202.0,2,1,65.0
413,Amruthahalli,2,1340.0,2,1,75.0
414,Amruthahalli,3,2650.0,4,0,175.0
415,Amruthahalli,3,1450.0,2,1,90.0
416,Amruthahalli,2,1025.0,2,1,42.0
417,Amruthahalli,1,485.0,1,1,19.5
418,Anandapura,2,1167.0,2,1,43.76
419,Anandapura,2,1000.0,2,1,55.0
420,Anandapura,2,1141.0,2,1,42.79
422,Anandapura,2,1200.0,2,1,67.0
423,Anandapura,2,1200.0,2,1,58.0
424,Anandapura,2,1151.0,2,1,43.1
425,Anandapura,2,1141.0,2,1,42.75
426,Anandapura,2,900.0,2,0,48.0
427,Anandapura,4,1749.0,4,0,90.0
428,Anandapura,2,1151.0,2,1,42.9
430,Anandapura,2,1250.0,2,2,45.0
431,Anandapura,2,1151.0,2,1,43.16
432,Anandapura,2,1200.0,2,0,58.0
433,Anandapura,3,1200.0,2,0,66.0
434,Anandapura,3,1415.0,2,1,74.0
435,Anandapura,2,1200.0,2,1,50.0
436,Anandapura,2,1141.0,2,1,50.0
438,Ananth Nagar,1,500.0,1,1,14.0
439,Ananth Nagar,2,1100.0,2,2,31.5
440,Ananth Nagar,2,982.0,2,2,24.55
441,Ananth Nagar,1,500.0,2,2,14.0
442,Ananth Nagar,2,900.0,2,2,22.5
443,Ananth Nagar,2,908.0,2,1,26.0
444,Ananth Nagar,2,870.0,2,2,36.0
445,Ananth Nagar,2,937.0,2,1,35.0
446,Ananth Nagar,2,960.0,2,3,37.0
447,Ananth Nagar,1,500.0,1,1,14.0
448,Ananth Nagar,2,1000.0,2,1,29.7
449,Ananth Nagar,2,850.0,2,1,25.99
450,Ananth Nagar,2,902.0,2,1,25.26
451,Ananth Nagar,3,1470.0,3,2,54.0
452,Ananth Nagar,2,810.0,2,1,25.5
453,Ananth Nagar,2,890.0,2,1,27.0
454,Ananth Nagar,2,1200.0,2,1,36.0
456,Ananth Nagar,3,1319.0,3,1,42.0
457,Ananth Nagar,2,1000.0,2,3,25.0
458,Ananth Nagar,2,902.0,2,2,25.0
459,Ananth Nagar,2,930.0,2,1,25.99
460,Ananth Nagar,2,1074.0,2,2,26.85
461,Ananth Nagar,1,500.0,1,1,14.0
462,Ananth Nagar,2,1010.0,2,2,38.0
463,Ananth Nagar,2,992.0,2,2,24.8
465,Anekal,2,656.0,2,1,22.0
466,Anekal,2,620.0,2,1,22.0
467,Anekal,1,600.0,1,1,16.5
468,Anekal,2,925.0,2,1,40.0
469,Anekal,1,530.0,1,1,18.0
470,Anekal,3,1800.0,3,2,68.0
472,Anekal,1,351.0,1,1,16.0
473,Anekal,2,1035.0,2,2,38.3
474,Anekal,2,888.0,2,1,34.0
478,Anekal,4,1200.0,2,1,36.0
479,Anekal,2,766.0,2,2,28.0
480,Anekal,3,967.0,2,1,45.0
481,Anekal,2,620.0,1,1,23.5
482,Anekal,3,1150.0,3,2,45.0
485,Anekal,1,400.0,1,1,11.5
486,Anekal,1,456.0,1,1,15.0
489,Anekal,3,2400.0,4,0,95.0
493,Anekal,1,420.0,1,1,12.5
494,Anekal,2,614.0,1,1,28.0
495,Anekal,2,1140.0,2,2,52.0
496,Anekal,2,625.0,1,1,25.0
497,Anjanapura,4,1850.0,4,2,86.0
498,Anjanapura,2,1070.0,2,2,39.0
499,Anjanapura,3,1500.0,3,1,121.0
500,Anjanapura,2,1070.0,2,2,37.0
501,Anjanapura,2,950.0,2,1,40.0
502,Anjanapura,3,1280.0,2,2,45.0
503,Anjanapura,2,710.0,2,0,25.0
505,Anjanapura,2,950.0,2,0,32.0
506,Anjanapura,4,1800.0,4,2,55.0
507,Anjanapura,3,1843.0,3,1,87.54
508,Anjanapura,2,1076.0,2,1,30.13
509,Anjanapura,2,950.0,2,0,30.0
510,Ardendale,3,1750.0,3,2,100.0
511,Ardendale,4,3198.0,4,3,200.0
512,Ardendale,4,2422.0,4,2,160.0
513,Ardendale,3,1750.0,3,3,100.0
514,Ardendale,4,3200.0,4,1,205.0
515,Ardendale,3,1728.0,3,2,95.0
516,Ardendale,4,2062.0,3,2,140.0
517,Ardendale,3,1732.46,3,2,92.0
518,Ardendale,4,2062.0,3,2,150.0
520,Ardendale,2,1224.0,2,2,70.0
521,Ardendale,3,1777.26,3,2,105.0
522,Ardendale,3,1650.0,3,3,82.0
523,Ardendale,4,2062.0,3,2,140.0
524,Ardendale,3,1650.0,3,3,82.0
525,Ardendale,2,1224.0,2,2,67.0
526,Ardendale,3,1723.0,3,2,95.0
527,Ardendale,3,1777.26,3,2,89.0
528,Ardendale,3,1777.26,3,2,92.0
529,Arekere,3,2060.0,3,2,140.0
530,Arekere,2,920.0,2,1,40.0
531,Arekere,3,1740.0,2,2,95.0
532,Arekere,2,1190.0,2,2,55.0
533,Arekere,1,600.0,1,1,28.0
534,Arekere,3,2072.0,3,2,108.0
535,Arekere,2,1100.0,2,2,55.0
536,Arekere,2,900.0,2,3,50.0
538,Arekere,2,1240.0,2,2,60.0
539,Arekere,2,900.0,2,1,44.5
540,Attibele,1,450.0,1,1,11.0
541,Attibele,4,1600.0,4,0,52.8
542,Attibele,2,656.0,2,1,25.0
543,Attibele,1,400.0,1,1,11.0
544,Attibele,1,400.0,1,1,12.0
545,Attibele,1,400.0,1,1,14.0
546,Attibele,1,500.0,1,1,17.0
547,Attibele,4,2168.0,4,2,95.0
548,Attibele,1,395.0,1,1,10.25
549,Attibele,1,420.0,1,1,17.0
551,Attibele,1,418.0,1,1,12.0
552,Attibele,2,1200.0,2,2,42.0
553,Attibele,1,400.0,1,1,10.0
554,Attibele,2,695.0,1,1,25.0
555,Attibele,2,850.0,1,1,25.0
556,Attibele,3,2400.0,3,3,120.0
557,Attibele,1,450.0,1,1,12.5
561,Attibele,1,782.0,1,0,19.55
563,Attibele,2,656.0,2,1,25.0
564,Attibele,1,400.0,1,1,11.5
565,Attibele,1,460.0,1,1,13.0
566,Attibele,1,418.0,2,1,11.5
567,Attibele,2,1000.0,2,1,42.0
568,Attibele,1,550.0,1,1,11.5
570,Attibele,1,410.0,1,1,10.0
571,Attibele,3,1700.0,3,1,65.0
572,Attibele,1,400.0,1,1,10.25
573,Attibele,2,656.0,2,1,25.0
574,Attibele,3,1500.0,3,2,90.0
575,Attibele,1,520.0,1,1,15.0
576,BEML Layout,2,1060.0,2,1,55.0
578,BEML Layout,2,999.0,2,3,45.0
579,BEML Layout,5,2400.0,4,1,225.0
581,BEML Layout,2,1194.0,2,1,65.0
582,BEML Layout,2,1200.0,2,2,67.0
583,BEML Layout,2,2400.0,2,1,228.0
586,BEML Layout,2,1194.0,2,1,65.0
588,BTM 1st Stage,1,375.0,1,0,40.0
589,BTM 1st Stage,3,1717.0,3,2,200.0
591,BTM 2nd Stage,2,950.0,2,1,52.0
592,BTM 2nd Stage,3,1850.0,3,2,170.0
593,BTM 2nd Stage,2,1200.0,2,2,80.0
594,BTM 2nd Stage,2,1274.0,2,2,70.0
596,BTM 2nd Stage,2,1070.0,2,1,48.0
597,BTM 2nd Stage,2,1280.0,2,2,80.0
598,BTM 2nd Stage,2,1100.0,2,2,70.0
599,BTM 2nd Stage,2,1000.0,2,2,58.0
600,BTM 2nd Stage,5,2990.0,5,3,416.0
601,BTM 2nd Stage,2,1265.0,2,2,55.0
602,BTM 2nd Stage,3,2200.0,3,3,220.0
603,BTM 2nd Stage,3,2780.0,4,1,325.0
604,BTM 2nd Stage,3,2400.0,2,0,360.0
605,BTM 2nd Stage,2,965.0,2,2,56.0
606,BTM 2nd Stage,2,1147.0,2,1,75.0
607,BTM 2nd Stage,3,1750.0,3,3,172.0
608,BTM 2nd Stage,2,1400.0,2,3,90.0
609,BTM 2nd Stage,2,1200.0,2,2,70.0
610,BTM 2nd Stage,2,1100.0,2,2,47.0
611,BTM 2nd Stage,2,930.0,2,2,46.0
613,BTM 2nd Stage,3,2500.0,3,2,345.0
614,BTM Layout,2,1150.0,2,2,63.0
